author_last_name, authors, title
Orwell, George Orwell, 1984
Twain, Mark Twain, The Adventures of Huckleberry Finn
Twain, Mark Twain, The Adventures of Tom Sawyer
Carroll, Lewis Carroll, Alice’s Adventures in Wonderland
Woodward, Carl Bernstein and Bob Woodward, All the President’s Men
Chabon, Michael Chabon, The Amazing Adventures of Kavalier and Clay
Dreiser, Theodore Dreiser, An American Tragedy
Christie, Agatha Christie, And Then There Were None
McCourt, Frank McCourt, Angela’s Ashes
Tolstoy, Leo Tolstoy, Anna Karenina
Frank, Anne Frank, The Diary of a Young Girl
Kagan, Donald Kagan, The Archidamian War
Mailer, Norman Mailer, "The Armies of the Night: History as a Novel, the Novel as a History"
James, Henry James, The Art of Fiction
Epictetus, Epictetus, The Art of Living
Tzu, Sun Tzu, The Art of War
Faulkner, William Faulkner, As I Lay Dying
McEwan, Ian McEwan, Atonement
Grealy, Lucy Grealy, Autobiography of a Face
Chopin, Kate Chopin, The Awakening
Smith, Dick King-Smith, Babe
Faludi, Susan Faludi, Backlash: The Undeclared War Against American Women
Sijie, Dai Sijie, Balzac and the Little Chinese Seamstress
Salten, Felix Salten, Bambi: A Life in the Woods
Patchett, Ann Patchett, Bel Canto
Plath, Sylvia Plath, The Bell Jar
Morrison, Toni Morrison, Beloved
,,Beowulf
,,The Bhagavad Gita
Duffy, Peter Duffy, "The Bielski Brothers: The True Story of Three Men Who Defied the Nazis, Built a Village in the Forest, and Saved 1,200 Jews"
Wurtzel, Elizabeth Wurtzel, Bitch: In Praise of Difficult Women
McCarthy, Mary McCarthy, A Bolt from the Blue and Other Essays
Huxley, Aldous Huxley, Brave New World
Ali, Monica Ali, Brick Lane
Lerner, Alan Jay Lerner, Brigadoon
Voltaire, Voltaire, Candide
Chaucer, Geoffrey Chaucer, The Canterbury Tales
King, Stephen King, Carrie
Heller, Joseph Heller, Catch-22
Salinger, J.D. Salinger, The Catcher in the Rye
Twain, Mark Twain, The Celebrated Jumping Frog
White, E.B. White, Charlotte’s Web
Hellman, Lillian Hellman, The Children’s Hour
King, Stephen King, Christine
Dickens, Charles Dickens, A Christmas Carol
Grimm, Brothers Grimm, Cinderella
Burgess, Anthony Burgess, A Clockwork Orange
Wodehouse, P.G. Wodehouse, The Code of the Woosters
Welty, Eudora Welty, The Collected Stories
Shakespeare, William Shakespeare, A Comedy of Errors
,,The Compact Oxford English Dictionary
Powell, Dan Powell, The Complete Novels of Dawn Powell
Sexton, Anne Sexton, The Complete Poems of Anne Sexton
Parker, Dorothy Parker, The Complete Stories of Dorothy Parker
Toole, John Kennedy Toole, A Confederacy of Dunces
Twain, Mark Twain, A Connecticut Yankee in King Arthur’s Court
Wallace, David Foster Wallace, Consider the Lobster: And Other Essays
Sagan, Carl Sagan, Contact
Dumas, Alexandre Dumas, The Count of Monte Cristo
Balzac, Honore De Balzac, Cousin Bette
Dostoevsky, Fyodor Dostoevsky, Crime and Punishment
Faber, Michel Faber, The Crimson Petal and the White
Miller, Arthur Miller, The Crucible
King, Stephen King, Cujo
Haddon, Mark Haddon, The Curious Incident of the Dog in the Night-Time
Rostand, Edmond Rostand, Cyrano De Bergerac
James, Henry James, Daisy Miller
Allende, Isabel Allende, Daughter of Fortune
Dickens, Charles Dickens, David Copperfield
Brown, Dan Brown, The Da Vinci Code
Gogol, Nikolai Gogol, Dead Souls
Miller, Arthur Miller, Death of a Salesman
Blume, Judy Blume, Deenie
Dostoyevsky, Fyodor Dostoyevsky, Demons
Larson, Erik Larson, "The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
Frank, Anne Frank, The Diary of A Young Girl
Lee, "Tommy Lee, Vince Neil, Mick Mars, and Nikki Sixx", "The Dirt: Confessions of the World’s Most Notorious Rock Band"
Alighieri, Dante Alighieri, The Divine Comedy
Wells, Rebecca Wells, The Divine Secrets of the Ya-Ya Sisterhood
Cervantes, Cervantes, Don Quixote
Stoker, Bram Stoker, Dracula
Uhrv, Alfred Uhrv, Driving Miss Daisy
Poe, Edgar Allan Poe, Edgar Allan Poe: Complete Tales & Poems
Cook, Blanche Wiesen Cook, Eleanor Roosevelt
Wolfe, Tom Wolfe, The Electric Kool-Aid Acid Test
Dunn, Mark Dunn, Ella Minnow Pea: A Novel in Letters
Thompson, Kay Thompson, Eloise at the Plaza
Reger, Roger Reger, Emily the Strange
Austen, Jane Austen, Emma
Russo, Richard Russo, Empire Falls
Sobol, Donald J. Sobol, Encyclopedia Brown: Boy Detective
Wharton, Edith Wharton, Ethan Frome
Spinoza, Spinoza, Ethics
Steves, Rick Steves, Europe through the Back Door: The Travel Skills Handbook
Allende, Isabel Allende, Eva Luna
Foer, Jonathan Safran Foer, Everything Is Illuminated
Mailer, Norman Mailer, The Executioner’s Song
Krist, Gary Krist, Extravagance
Bradbury, Ray Bradbury, Fahrenheit 451
Moore, Michael Moore, Fahrenheit 9/11
Kagan, Donald Kagan, The Fall of the Athenian Empire
Critser, Greg Critser, Fat Land: How Americans Became the Fattest People in the World
Thompson, Hunter S. Thompson, Fear and Loathing in Las Vegas
Tolkien, J. R. R. Tolkien, The Fellowship of the Ring
Stein, Joseph Stein, Fiddler on the Roof
Joyce, James Joyce, Finnegan’s Wake
Albom, Mitch Albom, The Five People You Meet in Heaven
McDonald, Gregory McDonald, Fletch
Keyes, Daniel Keyes, Flowers for Algernon
,,Fodor’s Selected Hotels of Europe
Lethem, Jonathan Lethem, The Fortress of Solitude
Rand, Ayn Rand, The Fountainhead
Shelley, Mary Shelley, Frankenstein
Salinger, J.D. Salinger, Franny and Zooey
Rodgers, Mary Rodgers, Freaky Friday
Vonnegut, Kurt Vonnegut, Galapagos
Butler, Judith Butler, Gender Trouble
